constructorStandingsId,raceId,constructorId,points,position,positionText,wins
"28457,1101,51,6,8,""8"",0"
"28458,1101,214,8,6,""6"",0"
"28459,1101,3,1,10,""10"",0"
"28460,1101,213,2,9,""9"",0"
"28461,1101,210,7,7,""7"",0"
"28462,1101,1,14,5,""5"",0"
"28463,1102,9,224,1,""1"",5"
"28464,1102,117,102,2,""2"",0"
"28465,1102,6,78,4,""4"",0"
"28466,1102,131,96,3,""3"",0"
"28467,1102,51,6,8,""8"",0"
"28468,1102,214,14,6,""6"",0"
"28469,1102,3,1,10,""10"",0"
"28470,1102,213,2,9,""9"",0"
"28471,1102,210,8,7,""7"",0"
"28472,1102,1,14,5,""5"",0"
"28473,1104,9,249,1,""1"",6"
"28474,1104,117,120,2,""2"",0"
"28475,1104,6,90,4,""4"",0"
"28476,1104,131,119,3,""3"",0"
"28477,1104,51,6,8,""8"",0"
"28478,1104,214,35,5,""5"",0"
"28479,1104,3,1,10,""10"",0"
"28480,1104,213,2,9,""9"",0"
"28481,1104,210,8,7,""7"",0"
"28482,1104,1,17,6,""6"",0"
"28493,1105,9,287,1,""1"",7"
"28494,1105,117,134,3,""3"",0"
"28495,1105,6,100,4,""4"",0"
"28496,1105,131,152,2,""2"",0"
"28497,1105,51,8,8,""8"",0"
"28498,1105,214,40,5,""5"",0"
"28499,1105,3,1,10,""10"",0"
"28500,1105,213,2,9,""9"",0"
"28501,1105,210,8,7,""7"",0"
"28502,1105,1,17,6,""6"",0"
"28522,1106,1,17,6,""6"",0"
"28521,1106,210,8,8,""8"",0"
"28520,1106,213,2,10,""10"",0"
"28519,1106,3,7,9,""9"",0"
"28518,1106,214,44,5,""5"",0"
"28517,1106,51,9,7,""7"",0"
"28516,1106,131,167,2,""2"",0"
"28515,1106,6,122,4,""4"",0"
"28514,1106,117,154,3,""3"",0"
"28513,1106,9,321,1,""1"",8"
"28541,1107,210,11,7,""7"",0"
"28539,1107,3,7,9,""9"",0"
"28535,1107,6,154,4,""4"",0"
"28534,1107,117,175,3,""3"",0"
"28540,1107,213,2,10,""10"",0"
"28542,1107,1,29,6,""6"",0"
"28538,1107,214,47,5,""5"",0"
"28533,1107,9,377,1,""1"",9"
"28537,1107,51,9,8,""8"",0"
